Month,ForecastSales
2014-01,1937806.18518942
2014-02,1983159.569150915
2014-03,2092949.5194359564
2014-04,2159595.596217142
2014-05,2286252.8242536886
2014-06,2560456.97994482
2014-07,2411699.457108853
2014-08,2518077.6943490696
2014-09,2468517.3929252406
2014-10,2598206.2418387653
2014-11,2608366.3847890794
2014-12,2658684.9695613757
2015-01,2674940.6704501617
2015-02,2663590.973644891
2015-03,2721039.651534274
2015-04,2739370.7380371504
2015-05,2821429.541565645
2015-06,3054465.946686135
2015-07,2867707.4472295577
2015-08,2939007.8819640907
2015-09,2857068.090904715
2015-10,2956868.1989574456
2015-11,2939438.752315742
2015-12,2964290.039639774
2016-01,2957037.480749805
2016-02,2923987.865492327
2016-03,2961405.8620269815
2016-04,2961247.100449628
2016-05,3026238.3626411296
2016-06,3243520.1241309107
2016-07,3042218.8858562545
2016-08,3100095.262434461
2016-09,3005764.040872296
2016-10,3094125.9125797004
2016-11,3066138.100569117
2016-12,3081243.2106069694
2017-01,3064994.186035522
2017-02,3023640.146142471
2017-03,3053392.5247589806
2017-04,3046157.8126316904
2017-05,3104617.432270721
2017-06,3315869.9890434565
2017-07,3109003.334531152
2017-08,3161742.4070449085
2017-09,3062669.061637255
2017-10,3146653.5910102697
2017-11,3114625.1578483293
2017-12,3126000.4660928585
2018-01,3106308.5497242413
2018-02,3061776.4578638617
2018-03,3088595.2518944866
2018-04,3078652.6172376075
2018-05,3134612.6176525853
2018-06,3343557.835054649
2018-07,3134561.3301554443
2018-08,3185334.388164251
2018-09,3084446.2612783103
2018-10,3166755.6088021356
2018-11,3133180.8549060295
2018-12,3143128.7910631243
